questions,category,category_id
Дали предавањата ќе се онлајн за UI/UX,UX/UI,7
Дали на академијата за UI/UX програмите како Adobe кои се плајќаат се достапни со лиценца или ќе биде потребно да се купат?,UX/UI,7
Дали на академијата за Software Testing е потребно претходно знаење,софтверско тестирање,6
Дали ми е потребен лаптоп и кои спецификации би требало да има за академијата за Software Testing?,софтверско тестирање,6
Кои денови би биле предавањата за академијата за Software Testing,софтверско тестирање,6
Дали академијата за UX/UI е достапна со ваучер,UX/UI,7
Дали академијата за UX/UI е со времетраење и темелност како претходната?,UX/UI,7
колку места се останати за академијата за UX/UI,UX/UI,7
кога почнува академијата за UX/UI,UX/UI,7
кога е пријавувањето за UX/UI академијата?,UX/UI,7
Дали обуките кои ќе започнат во септември ќе се одржуваат онлине,општо,0
дали може да ми кажете на што поточно се однесува академијата за Data Science,Data Science,5
Дали се добива некој сертификат за завршена академија за Data Science?,Data Science,5
Дали важи во странство академијата за Data Science,Data Science,5
Би сакала да се информирам повеќе за UX/UI академијата,UX/UI,7
Ме интересира каква е програмата за UX/UI академијата,UX/UI,7
дали има можност за работа во странство со дипломата за UX/UI академијата,UX/UI,7
колку трае самата академија за UX/UI академијата,UX/UI,7
дали има можност можност за добивање на стипендија за UX/UI академијата и тој линк не ми го отвара за жал,UX/UI,7
Со каква звање (диплома) се стекнуваме после завршувањето на академијата full stack?,full-stack програмирање,4
Каде е признаена таа диплома за академијата full stack?,full-stack програмирање,4
Дали имаме обезбедена пракса со можност за вработување од академијата за full stack?,full-stack програмирање,4
Сакам да се запишам на академијата за дигитален маркетинг?,маркетинг,1
Каде се одвива наставата за маркетинг,маркетинг,1
Дали сеуште има место на маркетинг,маркетинг,1
"Здраво, би сакал да се запишам на академијата за графички дизајн.",дизајн,2
Дали може да ми дадете инфо колку кошта академијата за Data Science,Data Science,5
Кога би почнала академијата за Data Science,Data Science,5
Дали академијата ќе биде онлине за Дата Сајанс,Data Science,5
Колку пати неделно се одвива и колку саати за Data Science?,Data Science,5
Сертификатот колку е признаен за Data Science?,Data Science,5
Дали после академијата правите препораки на фирми за Data Science?,Data Science,5
До кога е крајниот рок за аплицирање на frontend академијата за програмирање?,front-end програмирање,3
Аплицирав за академијата за Software testing ме интересира дали стасала мојата апликација,софтверско тестирање,6
"Ме интересира дали по завршување студентите можат да работат во странство, поточно Германија?",општо,0
Дали за ИТ програмер треба да знаеш англиски при учење за почетник,општо,0
Ме интересираат подетални информации за академијата за Software testing,софтверско тестирање,6
за академијата за Software testing кога би се одвивале часовите (дали ќе бидат флексибилни),софтверско тестирање,6
како да аплицирам за Software testing,софтверско тестирање,6
Дали има плаќање на рати на академијата за Software testing,софтверско тестирање,6
Ќе ве замолам за информација за цена на академијата за дигитален маркетинг,маркетинг,1
До кога може да се пријавиме за Data Science академијата,Data Science,5
Дали постои можност за стипендија на Data Science академијата,Data Science,5
Дали предавањата се на англиски,општо,0
Дали предавањата се одвиваат онлине или имате училници,општо,0
Колку чини академијата за програмирање?,општо,0
Кога почнува академијата за програмирање?,општо,0
Дали се работи за време на викенд на програмирање?,општо,0
Дали ми треба математика за програмирање?,општо,0
Ќе добијам ли сертификат на крајот на академијата за програмирање?,општо,0
Дали ми треба специјален компјутер за програмирање?,општо,0
Дали целата настава е онлајн на програмирање?,општо,0
Се учат ли бази на податоци на програмирање?,општо,0
Дали после академијата ќе можам да се вработам?,општо,0
Кои предзнаења треба да ги имам за програмирање?,општо,0
"Zdravo,dali postoi moznost da se posetuva akademija za graficki dizajn online?",дизајн,2
